Observation ID,Beach ID,Daily Attendance,Month,Latitude,Longitude,Is Holiday,Is Weekend,Rain Index,AverageTemperature,Wave Action
1,3,3826,1,52.89,20.777,0,0,0,84,0
2,3,2862,1,52.89,20.777,0,0,0,83,0
3,3,3895,1,52.89,20.777,0,0,0,70,0
4,3,3354,1,52.89,20.777,0,0,10.9,87,65.4
5,3,3017,1,52.89,20.777,0,1,0,84,0
6,3,3458,1,52.89,20.777,0,0,0,63,0
7,3,4222,1,52.89,20.777,0,1,0,76,0
8,2,3636,1,52.166,20.967,0,0,0,67,0
9,2,5121,1,52.166,20.967,0,0,0,96,0
10,2,3795,1,52.166,20.967,0,0,0,88,0
11,2,2775,1,52.166,20.967,0,0,2,90,6
12,2,5814,1,52.166,20.967,0,1,0,71,0
13,2,4428,1,52.166,20.967,0,0,0,98,0
14,2,1174,1,52.166,20.967,0,0,3,81,24
15,2,3827,1,52.166,20.967,0,0,0.5,98,2.5
16,2,200,1,52.166,20.967,0,0,9.9,67,49.5
17,1,5048,1,50.101,21.999,0,0,0,91,0
18,1,3804,1,50.101,21.999,0,1,0,90,0
19,1,3615,1,50.101,21.999,0,1,0,91,0
20,1,3594,1,50.101,21.999,0,1,0,90,0
21,3,4221,1,52.89,20.777,0,0,0,88,0
22,3,4018,1,52.89,20.777,0,0,2,60,18
23,3,201,1,52.89,20.777,0,0,6.1,75,54.9
24,3,4346,1,52.89,20.777,0,1,0,92,0
25,3,4327,1,52.89,20.777,0,1,0,95,0
26,2,4349,1,52.166,20.967,0,1,0.5,95,2
27,2,4963,1,52.166,20.967,0,0,0,68,0
28,2,4823,1,52.166,20.967,0,0,0.8,71,8
29,2,4004,1,52.166,20.967,0,0,0.3,95,2.4
30,2,5197,1,52.166,20.967,0,0,1,82,4
31,2,1202,1,52.166,20.967,0,0,4.1,82,16.4
32,2,487,1,52.166,20.967,0,0,8.4,77,8.4
33,2,4621,1,52.166,20.967,0,0,0,88,0
